City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,horta,38.5333,-28.6333,21.68,94,100,2.24,PT,1694743492
194,ancud,-41.8697,-73.8203,11.24,95,100,14.23,CL,1694743217
195,uniao da vitoria,-26.23,-51.0864,6.3,91,2,0.75,BR,1694743492
196,chernyshevskiy,63.0128,112.4714,8.6,84,100,5.2,RU,1694743493
197,kavaratti,10.5669,72.642,27.38,79,100,5.39,IN,1694743493
198,cimitarra,6.3142,-73.9497,24.43,95,100,3.43,CO,1694743493
199,khor,47.8861,134.9464,21.05,60,12,5.56,RU,1694743494
200,shache,38.4167,77.2406,23.74,22,0,2.83,CN,1694743494
201,shira,54.4911,89.9531,11.56,78,81,1.98,RU,1694743494
202,saiha,22.4833,92.9667,23.17,92,99,0.81,IN,1694743494
203,stanley,54.868,-1.6985,12.1,93,75,0.0,GB,1694743461
204,brokopondo,4.75,-55.1667,26.8,70,74,5.09,SR,1694743336
205,kristiansund,63.1115,7.732,11.36,76,100,2.06,NO,1694743495
206,anloga,5.7947,0.8973,24.87,90,100,4.95,GH,1694743495
207,tucuma,-0.1833,-50.05,24.74,89,2,2.7,BR,1694743285
208,mahibadhoo,3.7833,72.9667,28.08,79,96,4.0,MV,1694743321
209,nar'yan-mar,67.6713,53.087,6.5,94,100,5.45,RU,1694743496
210,lionel town,17.8101,-77.2406,30.94,75,56,0.91,JM,1694743497
211,ivdel',60.6911,60.4206,9.04,91,24,1.0,RU,1694743497
212,mahdia,35.5047,11.0622,24.97,65,100,3.47,TN,1694743304
213,nemuro,43.3236,145.575,16.44,87,97,6.39,JP,1694743497
214,lander,42.833,-108.7307,14.76,67,0,2.57,US,1694743498
215,coquimbo,-29.9533,-71.3436,14.85,72,0,2.06,CL,1694743396
216,la passe,45.5549,-0.8967,17.21,72,0,3.41,FR,1694743498
217,ko lanta,7.5336,99.0865,27.2,79,100,3.47,TH,1694743498
218,ribeira brava,32.65,-17.0667,23.35,71,46,2.6,PT,1694743499
219,tralee,52.2704,-9.7026,11.12,96,100,2.0,IE,1694743499
220,mehran,33.1222,46.1646,28.45,9,0,3.22,IR,1694743499
221,manokwari,-0.8667,134.0833,25.93,84,100,3.15,ID,1694743499
222,port isabel,26.0734,-97.2086,30.04,77,0,7.2,US,1694743500
223,sinjai,-5.1241,120.253,29.51,57,39,4.46,ID,1694743500
224,san fernando de apure,7.8878,-67.4724,23.58,96,58,1.22,VE,1694743500
225,atafu village,-8.5421,-172.5159,28.53,73,6,3.89,TK,1694743500
226,labytnangi,66.6572,66.4183,11.53,91,6,2.27,RU,1694743500
227,saipan,15.1355,145.701,31.39,74,75,6.17,MP,1694743501
228,fountain hills,33.6117,-111.7174,35.12,26,0,2.06,US,1694743488
229,vilyuysk,63.7553,121.6247,4.51,96,100,3.47,RU,1694743501
